TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.br.rfs.desafio.itau.Application,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333333,16,13
com.br.rfs.desafio.itau.business.DesafioBO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,34,32
com.br.rfs.desafio.itau.constants.RequestEntrypointConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
com.br.rfs.desafio.itau.controller.DesafioController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,48,36
com.br.rfs.desafio.itau.domain.DesafioResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,44,42
com.br.rfs.desafio.itau.domain.StatisticsDomain,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9906330822347772,467,462
com.br.rfs.desafio.itau.domain.TransactionRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9647064362236357,204,196
com.br.rfs.desafio.itau.exception.AppException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,12,0
com.br.rfs.desafio.itau.handler.DeleteTransaction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,14,0
com.br.rfs.desafio.itau.handler.PostTransaction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.824404761904762,42,29
com.br.rfs.desafio.itau.handler.StatisticsTransaction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,81,0
com.br.rfs.desafio.itau.service.DesafioService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
